"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"UI Tests","User Registration","","0","0","7","0","0"
"UI Tests","Login Functionality","","0","0","10","0","0"
"ZIYAD-4 Search Icon Function","No results message","","0","0","2","0","0"
"ZIYAD-4 Search Icon Function","Pressing Enter triggers search","","0","0","2","0","0"
"UI Tests","Shopping Bag","","0","0","16","0","0"
"UI Tests","Wishlist","","0","0","10","0","0"
"ZIYAD-4 Search Icon Function","Predictive dropdown","","0","0","2","0","0"
"ZIYAD-4 Search Icon Function","Search results list","","0","0","2","0","0"
"ZIYAD-4 Search Icon Function","PDP navigation from search results","","0","0","2","0","0"
